ticker,name_kr,sector,source,updated_at
000080,하이트진로,음식료,name-rule,2026-06-22
000100,유한양행,바이오,name-rule,2026-06-22
000120,CJ대한통운,지주/상사,name-rule,2026-06-22
000150,두산,지주/상사,name-rule,2026-06-22
000250,삼천당제약,바이오,name-rule,2026-06-22
000270,기아,자동차,name-rule,2026-06-22
000500,가온전선,전력기기,name-rule,2026-06-22
000660,SK하이닉스,반도체,name-rule,2026-06-22
000720,현대건설,건설,name-rule,2026-06-22
000810,삼성화재,금융,name-rule,2026-06-22
000990,DB하이텍,반도체,name-rule,2026-06-22
001040,CJ,지주/상사,name-rule,2026-06-22
00104K,CJ4우(전환),지주/상사,name-rule,2026-06-22
001120,LX인터내셔널,지주/상사,name-rule,2026-06-22
001430,세아베스틸지주,철강/소재,name-rule,2026-06-22
001440,대한전선,전력기기,name-rule,2026-06-22
001500,현대차증권,자동차,name-rule,2026-06-22
001510,SK증권,지주/상사,name-rule,2026-06-22
001680,대상,음식료,name-rule,2026-06-22
001740,SK네트웍스,지주/상사,name-rule,2026-06-22
001800,오리온홀딩스,음식료,name-rule,2026-06-22
002790,아모레퍼시픽홀딩스,화장품,name-rule,2026-06-22
003230,삼양식품,음식료,name-rule,2026-06-22
003240,태광산업,조선,name-rule,2026-06-22
003550,LG,지주/상사,name-rule,2026-06-22
003570,SNT다이내믹스,방산,name-rule,2026-06-22
003670,포스코퓨처엠,2차전지,name-rule,2026-06-22
004020,현대제철,철강/소재,name-rule,2026-06-22
004370,농심,음식료,name-rule,2026-06-22
005180,빙그레,음식료,name-rule,2026-06-22
005290,동진쎄미켐,반도체,name-rule,2026-06-22
005300,롯데칠성,음식료,name-rule,2026-06-22
005380,현대차,자동차,name-rule,2026-06-22
005490,POSCO홀딩스,철강/소재,name-rule,2026-06-22
005810,풍산홀딩스,방산,name-rule,2026-06-22
005850,에스엘,자동차,name-rule,2026-06-22
005880,대한해운,해운,name-rule,2026-06-22
005930,삼성전자,반도체,name-rule,2026-06-22
005940,NH투자증권,금융,name-rule,2026-06-22
006120,SK디스커버리,지주/상사,name-rule,2026-06-22
006260,LS,지주/상사,name-rule,2026-06-22
006340,대원전선,전력기기,name-rule,2026-06-22
006360,GS건설,건설,name-rule,2026-06-22
006400,삼성SDI,2차전지,name-rule,2026-06-22
006650,대한유화,철강/소재,name-rule,2026-06-22
